source,title,company,description,education,experience,contract,region,skills,date,url,logo,job_type,work_mode,salary,published,modified,location,date_posted,date_ago,see_more
TuniJobs,chauffeur semi-remorque à Morneg,"Expérience
2-5 ans
Type d'emploi
CDI
Mode de travail
Présentiel
Rémunération
Confidentiel",,,2-5 ans,,,rigoureux,,https://www.tunijobs.com/company/2s-consulting/jobs/2s-consulting-chauffeur-semi-remorque-a-morneg,https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68e42389fe970fe19ff467b1%2Fdd295034-9d62-414c-a4ac-776203e4883d.png&w=128&q=75,N/A,Présentiel,Confidentiel,N/A,N/A,,,,
TuniJobs,Support Commercial – Prise de commandes & Recouvrement,"Expérience
1-2 ans
Type d'emploi
CDI
Mode de travail
Télétravail complet
Rémunération
700 - 1300 DT",,,1-2 ans,,,"Relation ClientB2B
CRM
Autonomie
+2 de plus",,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-support-commercial-prise-de-commandes-and-saisie-h-f,https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,N/A,Télétravail complet,700 - 1300 DT,N/A,N/A,,,,
TuniJobs,Commercial·e B2B: Impression & Communication,"Expérience
Sans expérience
Type d'emploi
CIVP
Mode de travail
Présentiel
Rémunération
600 DT",,,Sans expérience,,,"Excellentes compétences en communication et relation client
Une connaissance du secteur de l’impression ou de la communication B2B est un plus.",,https://www.tunijobs.com/company/emprint-id/jobs/emprint-id-commercial-e-b2b-impression-and-communication,https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68e3f082fe970fe19ff46014%2F59547068-f295-4467-bf78-d57b3e5a3de2.png&w=128&q=75,N/A,Présentiel,600 DT,N/A,N/A,,,,
TuniJobs,Graphiste - opérateur.rice DTF,"Expérience
Sans expérience
Type d'emploi
CIVP
Mode de travail
Présentiel
Rémunération
600 DT",,,Sans expérience,,,"Design graphique
Impression DTF",,https://www.tunijobs.com/company/emprint-id/jobs/emprint-id-graphiste-operateur-rice-dtf,https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68e3f082fe970fe19ff46014%2F59547068-f295-4467-bf78-d57b3e5a3de2.png&w=128&q=75,N/A,Présentiel,600 DT,N/A,N/A,,,,
TuniJobs,QA Analyst / Testeur Fonctionnel,"Expérience
2-5 ans
Type d'emploi
CDI
Mode de travail
Télétravail complet
Rémunération
Confidentiel",,,2-5 ans,,,"Cypress
Playwright
QA
+4 de plus",,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-qa-analyst-testeur-fonctionnel,https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,N/A,Télétravail complet,Confidentiel,N/A,N/A,,,,
Farojob,Clinique elmourouj recrute Technicien Biomedicale,clinique elmourouj,,,,,,,,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-biomedicale/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"El Mourouj, Ben Arous, Tunisie",12 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-biomedicale/
Farojob,Magasin Général recrute Acheteur/Acheteuse,Magasin Général,,,,,,,,https://www.farojob.net/jobs/magasin-general-recrute-acheteur-acheteuse/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,Tunis centre ville,12 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/magasin-general-recrute-acheteur-acheteuse/
Farojob,Clinique elmourouj recrute Technicien en maintenance,clinique elmourouj,,,,,,,,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-en-maintenance/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"El Mourouj, Ben Arous, Tunisie",12 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-en-maintenance/
Farojob,Expertworkspace recrute Translation from English to arabic,Expertworkspace,,,,,,,,https://www.farojob.net/jobs/expertworkspace-recrute-translation-from-english-to-arabic/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Freelance,,,,,"- Les Berges du Lac II, MEDTECH Building, 4th floor, - 1053 Tunisia",10 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/expertworkspace-recrute-translation-from-english-to-arabic/
Farojob,Société d’électroménager recrute Responsable hygiène et entretien Bâtiments,Société d’électroménager,,,,,,,,https://www.farojob.net/jobs/societe-delectromenager-recrute-responsable-hygiene-et-entretien-batiments/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"Tunis, Gouvernorat de Tunis, Tunisie",4 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/societe-delectromenager-recrute-responsable-hygiene-et-entretien-batiments/
Farojob,Clinique du centre recrute Agent de Réception (Homme),Clinique du centre,,,,,,,,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,Secteur privé,,,,,"Avenue 2 Mars, Ksar Hellal, Tunisia",29 août 2025,il y a 2 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/
Farojob,Clinique du centre recrute Technicien Biomédical (option Radiologie),Clinique du centre,,,,,,,,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-biomedical-option-radiologie/,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,Secteur privé,,,,,"Avenue 2 Mars, Ksar Hellal, Tunisia",20 août 2025,il y a 3 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-biomedical-option-radiologie/
Farojob,Clinique du centre recrute Technicien de Maintenance Industrielle,Clinique du centre,,,,,,,,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-industrielle/,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,Secteur privé,,,,,"Avenue 2 Mars, Ksar Hellal, Tunisia",20 août 2025,il y a 3 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-industrielle/
Farojob,AGRIUP DISTRIBUTION recrute Agent Commercial Sédentaire (H/F),AGRIUP DISTRIBUTION,,,,,,,,https://www.farojob.net/jobs/agriup-distribution-recrute-agent-commercial-sedentaire-h-f/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,Megrine,18 août 2025,il y a 3 mois,https://www.farojob.net/jobs/agriup-distribution-recrute-agent-commercial-sedentaire-h-f/
Farojob,AGRIUP DISTRIBUTION recrute Technico-Commercial Intrants Agricoles (H/F),AGRIUP DISTRIBUTION,,,,,,,,https://www.farojob.net/jobs/agriup-distribution-recrute-technico-commercial-intrants-agricoles-h-f/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,Megrine,18 août 2025,il y a 3 mois,https://www.farojob.net/jobs/agriup-distribution-recrute-technico-commercial-intrants-agricoles-h-f/
Farojob,Ulysse voyages Tunisie recrute Conseillère Voyages (H/F),Ulysse voyages Tunisie,,,,,,,,https://www.farojob.net/jobs/ulysse-voyages-tunisie-recrute-conseillere-voyages-h-f/,https://www.farojob.net/wp-content/uploads/2025/08/LOGO-Ulysse-Voyages-1-100x100.jpeg,Secteur privé,,,,,"162, Avenue l’UMA 2036 soukra Ariana, Immeuble Omran Centre, bureau B1.4",14 août 2025,il y a 3 mois,https://www.farojob.net/jobs/ulysse-voyages-tunisie-recrute-conseillere-voyages-h-f/
Farojob,ALUBAT recrute Des techniciens en menuiserie d’aluminium,ALUBAT,,,,,,,,https://www.farojob.net/jobs/alubat-recrute-des-techniciens-en-menuiserie-daluminium/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,Ben Arous,6 août 2025,il y a 3 mois,https://www.farojob.net/jobs/alubat-recrute-des-techniciens-en-menuiserie-daluminium/
Farojob,Hotel Marhaba Club Sousse recrute Veilleur de nuit,Hotel Sousse 4*,,,,,,,,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-veilleur-de-nuit/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"سوسة, سوسة, تونس",4 août 2025,il y a 3 mois,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-veilleur-de-nuit/
Farojob,Hotel Marhaba Club Sousse recrute Réceptionniste,Hotel Sousse 4*,,,,,,,,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-receptionniste/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"سوسة, سوسة, تونس",4 août 2025,il y a 3 mois,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-receptionniste/
Farojob,Clinique du centre recrute Chargée Marketing & Design Graphique,Clinique du centre,,,,,,,,https://www.farojob.net/jobs/clinique-du-centre-recrute-chargee-marketing-design-graphique/,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,Secteur privé,,,,,"Avenue 2 Mars, Ksar Hellal, Tunisia",8 juillet 2025,il y a 4 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-chargee-marketing-design-graphique/
Farojob,Clinique du centre recrute Technicien de Maintenance Chaud-Froid,Clinique du centre,,,,,,,,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-chaud-froid/,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,Secteur privé,,,,,"Avenue 2 Mars, Ksar Hellal, Tunisia",7 juillet 2025,il y a 4 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-chaud-froid/
Farojob,csforyou recrute Gestionnaire de paie expérimenté(e) – Maîtrise SAGE COLA – tunisie,csforyou,,,,,,,,https://www.farojob.net/jobs/csforyou-recrute-gestionnaire-de-paie-experimentee-maitrise-sage-cola-tunisie/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,RUE l argent lac2,7 juillet 2025,il y a 4 mois,https://www.farojob.net/jobs/csforyou-recrute-gestionnaire-de-paie-experimentee-maitrise-sage-cola-tunisie/
Farojob,Call In Call Out recrute Télé-Opérateur Nouveau,Call In Call Out,,,,,,,,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-nouveau/,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,Secteur privé,,,,,khzema ouest,4 juillet 2025,il y a 4 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-nouveau/
Farojob,DELTA GRAFIX recrute Soudeur Semi Automatique / Installateur,DELTA GRAFIX,,,,,,,,https://www.farojob.net/jobs/delta-grafix-recrute-soudeur-semi-automatique-installateur/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"Megrine, Gouvernorat de Tunis, Tunisie",1 juillet 2025,il y a 4 mois,https://www.farojob.net/jobs/delta-grafix-recrute-soudeur-semi-automatique-installateur/
Farojob,DELTA GRAFIX recrute Poseur d’enseigne et signalétique,DELTA GRAFIX,,,,,,,,https://www.farojob.net/jobs/delta-grafix-recrute-poseur-denseigne-et-signaletique/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,Megrine,23 juin 2025,il y a 4 mois,https://www.farojob.net/jobs/delta-grafix-recrute-poseur-denseigne-et-signaletique/
Farojob,Clinique du centre recrute Assistante Administrative,Clinique du centre,,,,,,,,https://www.farojob.net/jobs/clinique-du-centre-recrute-assistante-administrative/,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,Secteur privé,,,,,"Avenue 2 Mars, Ksar Hellal, Tunisia",23 juin 2025,il y a 4 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-assistante-administrative/
Farojob,Call In Call Out recrute Télé-Opérateur Reception d’appel,Call In Call Out,,,,,,,,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-reception-dappel/,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,Secteur privé,,,,,khzema ouest,17 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-reception-dappel/
Farojob,Clinique elmourouj recrutetechniciens en imagerie médicale,clinique elmourouj,,,,,,,,https://www.farojob.net/jobs/clinique-elmourouj-recrutetechniciens-en-imagerie-medicale/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"El Mourouj 1, El Mourouj, Tunisie",16 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/clinique-elmourouj-recrutetechniciens-en-imagerie-medicale/
Farojob,Clinique du centre recrute Contrôleur de Gestion,Clinique du centre,,,,,,,,https://www.farojob.net/jobs/clinique-du-centre-recrute-controleur-de-gestion/,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,Secteur privé,,,,,"Avenue 2 Mars, Ksar Hellal, Tunisia",12 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-controleur-de-gestion/
Farojob,Bestbrands recrute Représentant Commercial circuit Gros Zone Nord-Ouest,Bestbrands,,,,,,,,https://www.farojob.net/jobs/bestbrands-recrute-representant-commercial-circuit-gros-zone-nord-ouest/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,nord,10 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/bestbrands-recrute-representant-commercial-circuit-gros-zone-nord-ouest/
Farojob,Concours Ministère de la jeunesse et des sports pour le recrutement de 440 Professeurs – 2025,Ministère de la jeunesse et des sports,,,,,,,,https://www.farojob.net/jobs/concours-ministere-de-la-jeunesse-et-des-sports-pour-le-recrutement-de-440-professeurs-2025/,https://www.farojob.net/wp-content/uploads/2024/03/mjs-sport-100x100.png,Concours Tunisie,,,,,N/A,29 mai 2025,il y a 5 mois,https://www.farojob.net/jobs/concours-ministere-de-la-jeunesse-et-des-sports-pour-le-recrutement-de-440-professeurs-2025/
Farojob,Concours Ministère de la Justice pour le recrutement de 117 Aide Greffier du Tribunal – 2025,Ministère de la Justice,,,,,,,,https://www.farojob.net/jobs/concours-ministere-de-la-justice-pour-le-recrutement-de-117-aide-greffier-du-tribunal-2025/,https://www.farojob.net/wp-content/uploads/2016/12/e-justice-2014-1.jpg,Concours Tunisie,,,,,N/A,29 mai 2025,il y a 5 mois,https://www.farojob.net/jobs/concours-ministere-de-la-justice-pour-le-recrutement-de-117-aide-greffier-du-tribunal-2025/
Farojob,Concours Ministère de la Justice pour le recrutement de 105 Greffier du Tribunal – 2025,Ministère de la Justice,,,,,,,,https://www.farojob.net/jobs/ministere-de-la-justice-pour-le-recrutement-de-105-greffier-du-tribunal-2025/,https://www.farojob.net/wp-content/uploads/2016/12/e-justice-2014-1.jpg,Concours Tunisie,,,,,N/A,29 mai 2025,il y a 5 mois,https://www.farojob.net/jobs/ministere-de-la-justice-pour-le-recrutement-de-105-greffier-du-tribunal-2025/
Farojob,Concours Ministère de l’Intérieur pour le recrutement d’Agents de la Garde National – 2025,Ministère de l’interieur,,,,,,,,https://www.farojob.net/jobs/concours-ministere-de-linterieur-pour-le-recrutement-dagents-de-la-garde-national-2025/,https://www.farojob.net/wp-content/uploads/2018/05/ministere-de-l-interieur.png,Concours Tunisie,,,,,N/A,29 mai 2025,il y a 5 mois,https://www.farojob.net/jobs/concours-ministere-de-linterieur-pour-le-recrutement-dagents-de-la-garde-national-2025/
Farojob,Groupe de Société recrute Directeur Administratif et Financier (DAF),Groupe de Société,,,,,,,,https://www.farojob.net/jobs/groupe-de-societe-recrute-directeur-administratif-et-financier-daf/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"Sfax Ville, Tunisie",21 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/groupe-de-societe-recrute-directeur-administratif-et-financier-daf/
Farojob,Groupe de Société recrute Comptable,Groupe de Société,,,,,,,,https://www.farojob.net/jobs/groupe-de-societe-recrute-comptable/,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Secteur privé,,,,,"Sfax, Gouvernorat de Sfax, Tunisie",21 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/groupe-de-societe-recrute-comptable/
Farojob,Université Mahmoud El Materi recrute Bibliothécaire,Université Mahmoud El Materi,,,,,,,,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-bibliothecaire/,https://www.farojob.net/wp-content/uploads/2021/01/UMM-LOGO-vertical-2019-sans-trans.png,Secteur privé,,,,,Montplaisir,16 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-bibliothecaire/
Farojob,Université Mahmoud El Materi recrute Surveillant(e),Université Mahmoud El Materi,,,,,,,,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-surveillante/,https://www.farojob.net/wp-content/uploads/2021/01/UMM-LOGO-vertical-2019-sans-trans.png,Secteur privé,,,,,Montplaisir,16 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-surveillante/
Farojob,Université Mahmoud El Materi recrute Un(e) chargé(e) de bureau d’ordre,Université Mahmoud El Materi,,,,,,,,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-une-chargee-de-bureau-dordre/,https://www.farojob.net/wp-content/uploads/2021/01/UMM-LOGO-vertical-2019-sans-trans.png,Secteur privé,,,,,Montplaisir,16 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-une-chargee-de-bureau-dordre/
Farojob,Call In Call Out recrute Télé-Opérateur,Call In Call Out,,,,,,,,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur/,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,Secteur privé,,,,,khzema ouest,15 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur/
Farojob,Call In Call Out recrute Agent IT,Call In Call Out,,,,,,,,https://www.farojob.net/jobs/call-in-call-out-recrute-agent-it/,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,Secteur privé,,,,,khzema ouest,15 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-agent-it/
